"name_clean","leaid1","years1","state1","leaid_name1","name_raw1","leaid2","years2","state2","leaid_name2","name_raw2"
"kevin miller","2908670","2004-2008","mo","Charleston R-I","KEVIN MILLER","3904821","2009-2017","oh","Ottawa Hills Local","Kevin S. Miller"
"kevin miller","2908670","2004-2008","mo","Charleston R-I","KEVIN MILLER","4113490","2012-2018, 2020","or","Winston-Dillard SD 116","Kevin Miller"
"kevin miller","4113490","2012-2018, 2020","or","Winston-Dillard SD 116","Kevin Miller","2608160","2014","mi","Carsonville","Kevin Miller"
"kevin miller","4113490","2012-2018, 2020","or","Winston-Dillard SD 116","Kevin Miller","3904800","2021-2023","oh","Licking Heights Local","Kevin S. Miller"
"kevin singer","4821660","2001-2003","tx","Grapevine-Colleyville Isd","Kevin Singer","2012260","2009-2010","ks","Topeka Public Schools","Singer, Kevin"
"kevin smith","1802430","2018-2021","in","Covington Community School Corp","Kevin Smith","3904535","2019-2023","oh","Crooksville Exempted Village","Kevin C. Smith"
"kevin smith","1802430","2018-2021","in","Covington Community School Corp","Kevin Smith","500062","2024","ar","Kipp Delta Public Schools","SMITH, KEVIN"
"kevin smith","2918670","2009-2024","mo","Lincoln R-Ii","Kevin Smith","1802430","2018-2021","in","Covington Community School Corp","Kevin Smith"
"kevin smith","2918670","2009-2024","mo","Lincoln R-Ii","Kevin Smith","3904535","2019-2023","oh","Crooksville Exempted Village","Kevin C. Smith"
"kevin smith","2918670","2009-2024","mo","Lincoln R-Ii","Kevin Smith","500062","2024","ar","Kipp Delta Public Schools","SMITH, KEVIN"
"kevin smith","2918670","2009-2024","mo","Lincoln R-Ii","Kevin Smith","900270","2012-2013","ct","Bethel School District","kevin j. smith"
"kevin smith","2918670","2009-2024","mo","Lincoln R-Ii","Kevin Smith","905130","2014-2023","ct","Wilton School District","dr. kevin smith"
"kevin smith","3904535","2019-2023","oh","Crooksville Exempted Village","Kevin C. Smith","500062","2024","ar","Kipp Delta Public Schools","SMITH, KEVIN"
"kevin wilson","4823670","2007-2024","tx","Howe Isd","Kevin Wilson","4006060","2022-2024","ok","Byng","Kevin Wilson"
"kimberly lingenfelter","3174220","2011-2014","ne","Neligh-Oakdale Schools","KIM LINGENFELTER","1907170","2015-2020, 2023","ia","Cherokee Comm School District","Kimberly  Lingenfelter"
"kirk ahrends","1931470","2004-2011","ia","Westwood Comm School District","Kirk Ahrends","3178300","2018-2023","ne","Walthill Public Schools","Kirk Ahrends"
"kriner cash","4700148","2011-2012","tn",,"Mr. Kriner Cash","3605850","2015-2021","ny","Buffalo City Sd","Dr. Kriner Cash"
"kristopher harrison","3409930","2011","nj","Mendham Township Board Of Education","Kristopher Harrison","3615450","2012-2023","ny","Irvington Ufsd","Mr. Kristopher M Harrison"
"lacee sell","2925290","2009-2011","mo","Clinton Co. R-Iii","LACEE SELL","2004620","2011-2015","ks","Chapman","Sell, Lacee"
"larry allen","1301950","2007-2009","ga","Echols County","ALLEN, LARRY D.","2616320","2008","mi","Goodrich","Larry Allen"
"larry anderson","4810470","2000-2001","tx","Blooming Grove Isd","Larry Anderson","3904358","2005-2007","oh","Bellefontaine City","Larry D. Anderson"
"larry brown","2920310","2003-2008, 2010-2018","mo","Marionville R-Ix","LARRY BROWN","3904453","2010-2011","oh","North Ridgeville City","Larry C. Brown"
"larry brown","2920310","2003-2008, 2010-2018","mo","Marionville R-Ix","LARRY BROWN","3904564","2012-2017","oh","Wauseon Exempted Village","Larry C. Brown"
"larry brown","2920310","2003-2008, 2010-2018","mo","Marionville R-Ix","LARRY BROWN","3904859","2018-2021","oh","Fort Recovery Local","Larry C. Brown"
"larry brown","2920310","2003-2008, 2010-2018","mo","Marionville R-Ix","LARRY BROWN","3905055","2006-2009","oh","Green Local","Larry C. Brown"
"larry brown","2920310","2003-2008, 2010-2018","mo","Marionville R-Ix","LARRY BROWN","5509840","2008-2011","wi","Monroe School District","Larry Brown"
"larry brown","2920310","2003-2008, 2010-2018","mo","Marionville R-Ix","LARRY BROWN","5512810","2012-2015","wi","Rice Lake Area School District","Larry Brown"
"larry davis","4812750","1998-2004, 2010","tx","Canton Isd","Larry Davis","2925530","2003-2008","mo","Prairie Home R-V","LARRY DAVIS"
"larry hawkins","4828680","1993-2002","tx","Mabank Isd","Larry Hawkins","4000075","2012","ok","Oklahoma School For The Deaf","Larry Hawkins"
"larry johnson","2628810","2008","mi","Port Hope","Larry Johnson","4000014","2017-2024","ok","Burns Flat-Dill City","Larry Johnson"
"larry johnson","2628810","2008","mi","Port Hope","Larry Johnson","4101470","2021-2023","or","Arlington SD 3","Larry Johnson"
"larry johnson","2628810","2008","mi","Port Hope","Larry Johnson","4111640","2018, 2020","or","Spray SD 1","Larry Johnson"
"larry johnson","2628810","2008","mi","Port Hope","Larry Johnson","4808340","2009-2014","tx","Anna Isd","Larry Johnson"
"larry johnson","4000014","2017-2024","ok","Burns Flat-Dill City","Larry Johnson","4101470","2021-2023","or","Arlington SD 3","Larry Johnson"
"larry johnson","4000014","2017-2024","ok","Burns Flat-Dill City","Larry Johnson","4111640","2018, 2020","or","Spray SD 1","Larry Johnson"
"larry schmidt","4218390","2008-2009","pa","Palmyra Area SD","Larry Schmidt","2003180","2009","ks","Abilene","Schmidt, Larry K."
"larry shackelford","4833960","1996-2001","tx","Paint Creek Isd","Larry Shackelford","4015690","2018-2021","ok","Jay","Larry Shackelford"
"larry smith","514140","2007-2014","ar","White Hall School District","SMITH, LARRY","3904861","2011-2012","oh","Bethel Local","Larry D. Smith"
"larry smith","514140","2007-2014","ar","White Hall School District","SMITH, LARRY","4827570","2016","tx","Lindsay Isd","Larry Smith"
"larry smith","3904861","2011-2012","oh","Bethel Local","Larry D. Smith","4827570","2016","tx","Lindsay Isd","Larry Smith"
"larry williams","1719970","2003","il","Il Valley Central Unit Dist 321","LARRY WILLIAMS ","1903220","2011","ia","Akron Westfield","Larry Williams"
"larry williams","1719970","2003","il","Il Valley Central Unit Dist 321","LARRY WILLIAMS ","1914160","2010","ia","Hinton","Larry  Williams"
"larry williams","1719970","2003","il","Il Valley Central Unit Dist 321","LARRY WILLIAMS ","1926400","2004-2007","ia","Sioux City Comm School District","Larry D. Williams"
"laura blessing","1808190","2014-2019","in","Northeastern Wayne Schools","Laura Blessing","3904439","2019-2023","oh","Miamisburg City","LAURA L. BLESSING"
"laurie bandlow","3412720","2015-2017, 2019","nj","Paulsboro School District","Laurie Bandlow","3605310","2020-2023","ny","Brewster Csd","LAURIE BANDLOW"
"laurie kimbrel","638790","2008-2012","ca","Tamalpais Union High","Laurie Kimbrel","1300242","2016","ga","Brookhaven Innovation Academy","LAURIE KIMBREL"
"laurie walles","3910002","2005-2013","oh","Arcadia Local","Laurie M. Walles","2607170","2015","mi","Buckley","Laurie Walles"
"lawrence kapugia","2635010","2008","mi","Wakefield-Marenisco","Lawrence Kapugia","5509150","2009-2010","wi","Mercer School District","Lawrence Kapugia"
"linda iverson","4226370","2016-2020","pa","Wilkinsburg Borough SD","LINDA IVERSON","3612720","2021-2024","ny","Greenburgh Csd","LINDA IVERSON"
"linda johnson","4800128","1999-2001, 2005","tx","Gulf Shores Academy","Linda Johnson","4103270","2012-2013","or","Colton SD 53","Linda Johnson"
"linda smith","4226430","2008, 2010-2014","pa","Williamsburg Community SD","Linda Smith","642630","2013-2019, 2022","ca","Willow Grove Union Elementary","Linda Smith"
"link luttrell","2912030","2014-2022","mo","Festus R-Vi","LINK LUTTRELL","2011850","2022-2024","ks","Spring Hill","Dr. Link Luttrell"
"lionel brown","2932110","2003-2005","mo","Henry Co. R-I","LIONEL BROWN","1304050","2018-2023","ga","Peach County","LIONEL BROWN"
"lisa gonzales","631470","2011-2012","ca","Portola Valley Elementary","Lisa Gonzales","4825320","2018-2019","tx","Kemp Isd","Lisa Gonzales"
"lisa gonzales","631470","2011-2012","ca","Portola Valley Elementary","Lisa Gonzales","4833360","2011-2017","tx","Odem-Edroy Isd","Lisa Gonzales"
"lisa weaver","4031860","2014-2023","ok","Watts","Lisa Weaver","1731860","2017-2023","il","Pleasant Hill Sd 69","Mrs. Lisa M Weaver"
"logan lightfoot","3100010","2018-2021","ne","Anselmo-Merna Public Schools","Logan Lightfoot","2920490","2023-2024","mo","Maryville R-Ii","LOGAN LIGHTFOOT"
"lori clark","2600105","2014-2015","mi","Big Jackson","Lori Clark","641040","2020-2022","ca","Victor Elementary","Lori Clark"
"louis moore","1303240","1999-2000","ga","Lanier County","MOORE, LOUIS RAYMOND","3413750","2017, 2019-2024","nj","Red Bank Regional School District","Louis Moore"
"louis muenker","4216410","2008-2011","pa","Neshaminy SD","LOUIS MUENKER","3400769","2014-2017, 2019","nj","South Hunterdon Regional School District","Louis Muenker"
"lynn johnson","1913500","2019-2020","ia","Harlan Comm School District","Ms. Lynn Johnson","3104950","2021-2023","ne","Raymond Central Public Schools","Lynn Johnson"
"lynn johnson","1807800","2010, 2012, 2014","in","North Judson-San Pierre Sch Corp","Mrs Lynn Johnson","1913500","2019-2020","ia","Harlan Comm School District","Ms. Lynn Johnson"
"lynn johnson","1807800","2010, 2012, 2014","in","North Judson-San Pierre Sch Corp","Mrs Lynn Johnson","3104950","2021-2023","ne","Raymond Central Public Schools","Lynn Johnson"
"magie roberts","1703090","2003-2006","il","Abingdon C U School Dist 217","DR MAGIE ROBERTS ","2925330","2003","mo","Pleasant Hill R-Iii","MAGIE ROBERTS"
"maria pitre martin","3704500","2013-2014","nc","Thomasville City Schools","Maria Pitre-Martin","5102910","2019-2021","va","Petersburg ","Dr. Maria Pitre-Martin"
"marion martinez","901260","2007-2008","ct","East Hartford School District","marion h. martinez","3604870","2013-2015","ny","Binghamton City Sd","Dr. Marion H Martinez"
"mark alexander","3621510","2012-2018","ny","Oakfield-Alabama Csd","Mr. Mark Alexander","4011250","2012-2021","ok","Fairland","Mark Alexander"
"mark baker","1808160","2010, 2012, 2014-2023","in","Northeast School Corp","Dr Mark Baker","2907460","2018-2023","mo","Carthage R-Ix","MARK BAKER"
"mark bejot","2012630","2009-2010","ks","Wakeeney","Bejot, Mark","3173440","2020-2024","ne","Maywood Public Schools","Mark Bejot"
"mark bejot","2012630","2009-2010","ks","Wakeeney","Bejot, Mark","3178240","2011-2018","ne","Wakefield Public Schools","MARK BEJOT"
"mark crawford","3630780","2010-2017","ny","West Seneca Csd","Dr. Mark J Crawford","2006570","2021-2024","ks","Goessel","Mark Crawford"
"mark crawford","3630780","2010-2017","ny","West Seneca Csd","Dr. Mark J Crawford","2009390","2015-2016","ks","Mcpherson","Crawford, Mark"
"mark daniel","1728620","2014, 2017-2020","il","Mclean County Usd 5","Dr. Mark Daniel","1803630","2020-2024","in","Fort Wayne Community Schools","Mark Daniel"
"mark daniel","2612150","2011-2012","mi","Dowagiac Union","Mark Daniel","1728620","2014, 2017-2020","il","Mclean County Usd 5","Dr. Mark Daniel"
"mark daniel","2612150","2011-2012","mi","Dowagiac Union","Mark Daniel","1803630","2020-2024","in","Fort Wayne Community Schools","Mark Daniel"
"mark evans","2003360","2009-2012","ks","Andover","Evans, Mark","3174820","2013-2017","ne","Omaha Public Schools","MARK EVANS"
"mark johnson","2600006","2008, 2011-2012","mi","Bessemer","Mark Johnson","5500061","2013-2024","wi","Chetek-Weyerhaeuser Area School District","Mark Johnson"
"mark johnson","2600006","2008, 2011-2012","mi","Bessemer","Mark Johnson","614220","2013-2019","ca","Fountain Valley Elementary","Mark Johnson"
"mark johnson","2600006","2008, 2011-2012","mi","Bessemer","Mark Johnson","640150","2020-2022","ca","Tustin Unified","Mark Johnson"
"mark johnson","5500061","2013-2024","wi","Chetek-Weyerhaeuser Area School District","Mark Johnson","640150","2020-2022","ca","Tustin Unified","Mark Johnson"
"mark king","4207540","2008","pa","Deer Lakes SD","MARK KING","2600325","2011","mi","Wavecrest Career Academy","Mark King"
"mark miles","3904543","2011-2017","oh","Indian Hill Exempted Village","Mark T. Miles","2926850","2020-2021","mo","Rockwood R-Vi","MARK MILES"
"mark miller","637260","2016-2017","ca","Sonora Union High","Mark Miller","1705570","2017-2021","il","Opdyke-Belle-Rive Ccsd 5","Mr. Mark L Miller"
"mark miller","2610860","2008, 2011","mi","Corunna","Mark Miller","1705570","2017-2021","il","Opdyke-Belle-Rive Ccsd 5","Mr. Mark L Miller"
"mark miller","2610860","2008, 2011","mi","Corunna","Mark Miller","3403840","2012-2017, 2019","nj","Dennis Township","MARK MILLER"
"mark miller","2610860","2008, 2011","mi","Corunna","Mark Miller","3412960","2011","nj","Phillipsburg School District","Mark Miller"
"mark miller","2610860","2008, 2011","mi","Corunna","Mark Miller","637260","2016-2017","ca","Sonora Union High","Mark Miller"
"mark mitchell","1733380","2009, 2012-2014, 2017-2023","il","Reed Custer Cusd 255u","Mr. Mark Mitchell","4225230","2023-2024","pa","West Branch Area SD","MARK MITCHELL"
"mark mitchell","2921810","2003-2005","mo","Neosho R-V","MARK MITCHELL","1733380","2009, 2012-2014, 2017-2023","il","Reed Custer Cusd 255u","Mr. Mark Mitchell"
"mark mitchell","2921810","2003-2005","mo","Neosho R-V","MARK MITCHELL","4225230","2023-2024","pa","West Branch Area SD","MARK MITCHELL"
"mark parker","4833360","2007","tx","Odem-Edroy Isd","Mark Parker","2930870","2019-2021","mo","Maries Co. R-I","MARK PARKER"
"mark scott","1302880","2014-2023","ga","Houston County","MARK SCOTT","1727780","2023","il","Nauvoo-Colusa Cusd 325","Mr. Mark Scott"
"mark scott","1302880","2014-2023","ga","Houston County","MARK SCOTT","1742240","2017-2022","il","North Greene Cusd 3","Mr. Mark Scott"
"mark scott","1302880","2014-2023","ga","Houston County","MARK SCOTT","3904617","2019-2023","oh","Brown Local","Mark D. Scott"
"mark scott","3904617","2019-2023","oh","Brown Local","Mark D. Scott","1727780","2023","il","Nauvoo-Colusa Cusd 325","Mr. Mark Scott"
"mark silverstein","3614070","2010-2019","ny","Hawthorne-Cedar Knolls Ufsd","Mr. Mark K Silverstein","3405880","2011-2017, 2019-2024","nj","Glassboro Public Schools","Mark Silverstein"
"mark spaid","1718960","2007-2008","il","High Mount Sd 116","Dr Mark Spaid","2906150","2018","mo","Cooper Co. R-Iv","Mark Spaid"
"mark stefanik","3701080","2015-2019","nc","Currituck County Schools","Mark Stefanik","3904561","2019-2021","oh","Tipp City Exempted Village","Mark J. Stefanik"
"mark taylor","1906750","2023-2024","ia","Centerville Comm School District","Mark Taylor","5103640","2023","va","Spotsylvania County Public Schools","Mr. Mark Taylor"
"mark white","3904696","2009-2010","oh","Gahanna-Jefferson City","Mark E. White","3614250","2015-2023","ny","Hermon-Dekalb Csd","Mr. Mark White"
"marla stephenson","601860","2008-2011","ca","Albany City Unified","Marla Stephenson","4104700","2013-2015","or","Estacada SD 108","Marla Stephenson"
"marshall lewis","2928470","2004-2006","mo","South Iron Co. R-I","MARSHALL LEWIS","1904680","2010-2012","ia","Belmond-Klemme","Marshall Lewis"
"marshall lewis","2928470","2004-2006","mo","South Iron Co. R-I","MARSHALL LEWIS","1912810","2020, 2023-2024","ia","Graettinger-Terrilcomm School District","Marshall Lewis"
"marshall lewis","2928470","2004-2006","mo","South Iron Co. R-I","MARSHALL LEWIS","1925050","2020, 2023-2024","ia","Ruthven-Ayrshirecomm School District","Marshall Lewis"
"marshall lewis","2928470","2004-2006","mo","South Iron Co. R-I","MARSHALL LEWIS","3172570","2013-2016","ne","Kimball Public Schools","MARSHALL LEWIS"
"marshall lewis","3172570","2013-2016","ne","Kimball Public Schools","MARSHALL LEWIS","1912810","2020, 2023-2024","ia","Graettinger-Terrilcomm School District","Marshall Lewis"
"marshall lewis","3172570","2013-2016","ne","Kimball Public Schools","MARSHALL LEWIS","1925050","2020, 2023-2024","ia","Ruthven-Ayrshirecomm School District","Marshall Lewis"
"martin cox","4800064","2003","tx","Star Charter School","Martin Cox","3611070","2010-2011","ny","Fillmore Csd","Mr. Martin D Cox"
"martin cox","4800064","2003","tx","Star Charter School","Martin Cox","3620340","2016-2020","ny","Clarkstown Csd","MARTIN COX"
"martin cox","4800064","2003","tx","Star Charter School","Martin Cox","3627120","2012-2015","ny","Sodus Csd","Mr. Martin D Cox"
"martin handler","4204050","2008-2012","pa","Brandywine Heights Area SD","MARTIN HANDLER","3623040","2013-2021","ny","Pine Plains Csd","Dr. Martin D Handler"
"marvin wade","1918720","2008-2015","ia","Marshalltown","Marvin Wade","2009180","2016-2018, 2021-2022","ks","Manhattan-Ogden","Wade, Marvin Dr"
"mary ann kahl","1703300","2003-2004","il","Alden Hebron School Dist 19","MARY ANN KAHL ","5515450","2015-2018","wi","Walworth J1 School District","Mary Ann Kahl"
"mary jones","3631800","2014-2019","ny","Wyandanch Ufsd","Dr. Mary Jones","1926730","2015-2016","ia","South Tama County Comm School District","Mary Jones"
"mary jones","4811700","2001-2007","tx","Brownwood Isd","Mary Jones","1926730","2015-2016","ia","South Tama County Comm School District","Mary Jones"
"mary jones","4811700","2001-2007","tx","Brownwood Isd","Mary Jones","3631800","2014-2019","ny","Wyandanch Ufsd","Dr. Mary Jones"
"mary marshall","4816180","2006-2007","tx","Daingerfield-Lone Star Isd","Mary Marshall","2612030","2011-2012","mi","Dexter","Mary Marshall"
"mary marshall","4816180","2006-2007","tx","Daingerfield-Lone Star Isd","Mary Marshall","2627840","2014-2015","mi","Pentwater","Mary Marshall"
"matt gordon","1733120","2017-2023","il","Rankin Csd 98","Dr. Matt Gordon","3100070","2021-2024","ne","Amherst Public Schools","Matt Gordon"
"matt smith","2012630","2022-2024","ks","Wakeeney","Matt Smith","4808700","2024","tx","Arlington Isd","Matt Smith"
"matthew block","3408820","2020-2024","nj","Livingston Twp","Matthew Block","3603180","2024","ny","Ardsley Ufsd","MATTHEW BLOCK"
"matthew curtis","904110","2012-2023","ct","Simsbury School District","matthew curtis","3904619","2014, 2018","oh","Graham Local","Matthew R. Curtis"
"matthew friedman","3411970","2023","nj","Ocean City","Matthew Friedman","4219890","2023-2024","pa","Quakertown Community SD","MATTHEW FRIEDMAN"
"matthew harris","4218660","2013-2024","pa","Penn-Trafford SD","MATTHEW HARRIS","630230","2019-2022","ca","Petaluma City Elementary","Matthew Harris"
"matthew harris","4218660","2013-2024","pa","Penn-Trafford SD","MATTHEW HARRIS","630250","2019-2022","ca","Petaluma Joint Union High","Matthew Harris"
"matthew miller","2627420","2008, 2011-2012, 2014-2015","mi","Parchment","Matthew Miller","3904549","2012-2015","oh","Mentor Exempted Village","Matthew J. Miller"
"matthew miller","2627420","2008, 2011-2012, 2014-2015","mi","Parchment","Matthew Miller","3904611","2016-2021","oh","Lakota Local","Matthew J. Miller"
"matthew robinson","2907020","2012-2024","mo","Cameron R-I","MATTHEW ROBINSON","3415750","2016-2017","nj","Stillwater Township School District","Matthew Robinson"
"matthew unger","2923310","2013-2015","mo","Otterville R-Vi","Matthew Unger","3904949","2022-2023","oh","Adena Local","Matthew C. Unger"
"matthew wendt","1903690","2008-2011","ia","Ankeny","Matthew Wendt","1730270","2012-2014","il","Oswego Cusd 308","Dr. Matthew Wendt"
"matthew wendt","1903690","2008-2011","ia","Ankeny","Matthew Wendt","506120","2016","ar","Fayetteville School District","Wendt, Matthew"
"matthew wendt","1730270","2012-2014","il","Oswego Cusd 308","Dr. Matthew Wendt","506120","2016","ar","Fayetteville School District","Wendt, Matthew"
"melinda moss","507380","2010-2014","ar","Harrison School District","MOSS, MENDY","2916350","2018-2022","mo","Joplin Schools","MELINDA MOSS"
"melissa brown","600042","2011-2014","ca","Warner Unified","Melissa Brown","1800098","2012, 2014-2017","in","In Connections Acad Virtual Pilot","Ms Melissa Brown"
"melissa brown","600042","2011-2014","ca","Warner Unified","Melissa Brown","1800191","2017","in","Indiana Connections Career Academy","Melissa Brown"
"melissa martin","2600181","2011","mi","Arbor Academy","Melissa Martin","4899133","2023","tx","Heritage Classical Academy","Melissa Martin"
"melissa moore","612210","2012-2021","ca","El Segundo Unf","Melissa Moore","504200","2018-2024","ar","Charleston School District","Moore, Melissa R."
"melissa ross","2600242","2008, 2011","mi","Old Redford","Melissa Ross","1800025","2022","in","Thea Bowman Leadership Academy","Melissa Ross"
"melissa ross","2600242","2008, 2011","mi","Old Redford","Melissa Ross","1800178","2022","in","Higher Institute Of Arts & Tech","Melissa Ross"
"melissa williams","3412990","2022-2024","nj","Pine Hill Boro","Dr. Melissa Williams","1303600","2023","ga","Mcintosh County","WILLIAMS,MELISSA H"
"meria carstarphen","4808940","2009-2013","tx","Austin Isd","Meria Carstarphen","1300120","2014-2019","ga","Atlanta Public Schools","MERIA CARSTARPHEN"
"michael alexander","1736090","2003","il","Shelbyville C U School Dist 4","DR MICHAEL ALEXANDER ","2610980","2011-2012","mi","Covert","Michael Alexander"
"michael bakalis","1800025","2014-2017","in","Thea Bowman Leadership Academy","Michael Bakalis","2601094","2015","mi","Great Lake Explorations Academy","Michael Bakalis"
"michael bennett","1800104","2017","in","Hancock Madison Shelby Ed Services","Michael Bennett","3612870","2022-2024","ny","Greenville Csd","MICHAEL BENNETT"
"michael brown","3100187","2017-2020","ne","Boyd County Schools","Michael Brown","1918240","2024","ia","East Mills Comm School District","Michael Brown"
"michael brown","3100187","2017-2020","ne","Boyd County Schools","Michael Brown","1926250","2024","ia","Sidney Comm School District","Michael Brown"
"michael carmean","3904823","2005-2006","oh","Washington Local","Michael W. Carmean","2630840","2011-2012, 2014-2015","mi","Sandusky","Michael Carmean"
"michael carter","4107280","2020-2023","or","Lake County SD 7","Michael Carter","4000766","2024","ok","Kipp Reach Coll (Charter)","Michael Carter"
"michael cox","624750","2018-2019","ca","Middletown Unified","Michael Cox","500045","2020-2024","ar","Rivercrest School District #57","Cox, Michael"
"michael cox","624750","2018-2019","ca","Middletown Unified","Michael Cox","5507590","2019","wi","Ladysmith School District","Michael Cox"
"michael cox","1707770","2003-2004","il","Bunker Hill C U School Dist 8","MICHAEL L COX ","500045","2020-2024","ar","Rivercrest School District #57","Cox, Michael"
"michael cox","1707770","2003-2004","il","Bunker Hill C U School Dist 8","MICHAEL L COX ","510950","2010-2014, 2016-2017","ar","Osceola School District","COX, MICHAEL H."
"michael cox","1707770","2003-2004","il","Bunker Hill C U School Dist 8","MICHAEL L COX ","5506270","2008-2010","wi","Hayward Community School District","Michael Cox"
"michael cox","1707770","2003-2004","il","Bunker Hill C U School Dist 8","MICHAEL L COX ","5507590","2019","wi","Ladysmith School District","Michael Cox"
"michael cox","1707770","2003-2004","il","Bunker Hill C U School Dist 8","MICHAEL L COX ","5508970","2013-2017","wi","Mellen School District","Michael Cox"
"michael cox","1707770","2003-2004","il","Bunker Hill C U School Dist 8","MICHAEL L COX ","5513980","2012-2015","wi","Solon Springs School District","Michael Cox"
"michael cox","1707770","2003-2004","il","Bunker Hill C U School Dist 8","MICHAEL L COX ","624750","2018-2019","ca","Middletown Unified","Michael Cox"
"michael davis","1300720","2005-2006","ga","Calhoun City","DAVIS, MICHAEL C.","3618080","2017-2019","ny","Madison Csd","MICHAEL DAVIS"
"michael davis","1300720","2005-2006","ga","Calhoun City","DAVIS, MICHAEL C.","4701680","2013-2022","tn","Hardin County","Mr. Michael Davis"
"michael davis","1300720","2005-2006","ga","Calhoun City","DAVIS, MICHAEL C.","4816080","2008-2020","tx","Cushing Isd","Michael Davis"
"michael davis","4701680","2013-2022","tn","Hardin County","Mr. Michael Davis","3618080","2017-2019","ny","Madison Csd","MICHAEL DAVIS"
"michael davis","4816080","2008-2020","tx","Cushing Isd","Michael Davis","3618080","2017-2019","ny","Madison Csd","MICHAEL DAVIS"
"michael davis","4816080","2008-2020","tx","Cushing Isd","Michael Davis","4701680","2013-2022","tn","Hardin County","Mr. Michael Davis"
"michael dean","500079","2016-2019","ar","Two Rivers School District","DEAN, MICHAEL","4800124","2020-2024","tx","Calvin Nelms Charter Schools","Michael Dean"
"michael ford","3622890","2010-2013","ny","Phelps-Clifton Springs Csd","Mr. Michael J Ford","4813380","2010, 2012","tx","Centerville Isd","Michael Ford"
"michael freeman","691037","2022","ca","Shasta County Office Of Education","Michael Freeman","507170","2023-2024","ar","Hackett School District","Freeman, Michael E."
"michael freeman","3700180","2012-2018","nc","Anson County Schools","Michael Freeman","507170","2023-2024","ar","Hackett School District","Freeman, Michael E."
"michael freeman","3700180","2012-2018","nc","Anson County Schools","Michael Freeman","691037","2022","ca","Shasta County Office Of Education","Michael Freeman"
"michael gaunt","2608880","2008","mi","Chassell Township","Michael Gaunt","5508730","2010-2013","wi","Marion School District","Michael Gaunt"
"michael gill","5101830","2015-2023","va","Hanover County","Dr. Michael Gill","3610590","2020-2023","ny","Elmira Heights Csd","MICHAEL GILL"
"michael gray","1712960","2003-2006","il","East Alton School District 13","MICHAEL D GRAY ","2905660","2008-2011","mo","Bowling Green R-I","MICHAEL GRAY"
"michael gray","1712960","2003-2006","il","East Alton School District 13","MICHAEL D GRAY ","2921330","2012-2020","mo","Montgomery Co. R-Ii","MICHAEL GRAY"
"michael harris","1710980","2003-2004","il","Coulterville Unit School Dist 1","MICHAEL W HARRIS ","2623310","2008, 2011-2012, 2014","mi","Mcbain","Michael Harris"
"michael harris","1710980","2003-2004","il","Coulterville Unit School Dist 1","MICHAEL W HARRIS ","3415420","2011-2017, 2019-2020","nj","Southampton Township School District","Michael Harris"
"michael harris","1710980","2003-2004","il","Coulterville Unit School Dist 1","MICHAEL W HARRIS ","4703030","2011","tn","Montgomery County","Mr. Michael Harris"
"michael harris","1710980","2003-2004","il","Coulterville Unit School Dist 1","MICHAEL W HARRIS ","4838220","2005-2006","tx","Royse City Isd","Michael Harris"
"michael harris","2623310","2008, 2011-2012, 2014","mi","Mcbain","Michael Harris","3415420","2011-2017, 2019-2020","nj","Southampton Township School District","Michael Harris"
"michael harris","2623310","2008, 2011-2012, 2014","mi","Mcbain","Michael Harris","4703030","2011","tn","Montgomery County","Mr. Michael Harris"
"michael harris","3415420","2011-2017, 2019-2020","nj","Southampton Township School District","Michael Harris","4703030","2011","tn","Montgomery County","Mr. Michael Harris"
"michael holland","512480","2007","ar","Sloan-Hendrix School Dist.","HOLLAND, MICHAEL","4819560","2011-2013","tx","Forney Isd","Michael Holland"
"michael hollingsworth","1725920","2003-2014, 2017-2022","il","Midlothian School Dist 143","MICHAEL A HOLLINGSWORTH ","2922560","2024","mo","Nodaway-Holt R-Vii","MICHAEL HOLLINGSWORTH"
"michael hunter","502550","2007-2009","ar","Armorel School District","HUNTER, MICHAEL L.","3410890","2020-2024","nj","Mount Ephraim Boro","Michael Hunter"
"michael johnson","1737350","2003-2006","il","Triad Comm Unit School Dist 2","DR MICHAEL JOHNSON ","3904362","2005-2015","oh","Bexley City","Michael L. Johnson"
"michael johnson","1737350","2003-2006","il","Triad Comm Unit School Dist 2","DR MICHAEL JOHNSON ","3904688","2017-2023","oh","Liberty Union-Thurston Local","Michael L. Johnson"
"michael johnson","1737350","2003-2006","il","Triad Comm Unit School Dist 2","DR MICHAEL JOHNSON ","4103690","2018, 2020-2023","or","Creswell SD 40","Michael Johnson"
"michael johnson","1737350","2003-2006","il","Triad Comm Unit School Dist 2","DR MICHAEL JOHNSON ","514500","2024","ar","Institute For The Creative Arts School","JOHNSON, MICHAEL B."
"michael johnson","1737350","2003-2006","il","Triad Comm Unit School Dist 2","DR MICHAEL JOHNSON ","5504050","2020-2024","wi","Eau Claire Area School District","Michael Johnson"
"michael johnson","4103690","2018, 2020-2023","or","Creswell SD 40","Michael Johnson","514500","2024","ar","Institute For The Creative Arts School","JOHNSON, MICHAEL B."
"michael johnson","4103690","2018, 2020-2023","or","Creswell SD 40","Michael Johnson","5504050","2020-2024","wi","Eau Claire Area School District","Michael Johnson"
"michael johnson","5504050","2020-2024","wi","Eau Claire Area School District","Michael Johnson","514500","2024","ar","Institute For The Creative Arts School","JOHNSON, MICHAEL B."
